Name;Type;Units  or  mass;Status;Organisation;Institution;Entity;Nation;Oneliner;Images
SKCube-2;CubeSat;3U;not  launched,  expected  in  2020;Slovak  Organisation  for  Space  Activities;Non-profit;Government  (Civil  /  Military);Slovakia;Precursor  or  a  demo  mission  for  a  fleet  of  at  least  nine  3U  CubeSats,  which  shall  be  equipped  with  CsI  gamma-ray  detectors.;['https://dl.airtable.com/JwQacMpQCW2aDao7GWzg_skcube-2-grb-768x472.png']
SOAR  (Satellite  for  Orbital  Aerodynamics  Research);CubeSat;3U;not  launched,  expected  in  2020;EU  Consortium;Institute;Government  (Civil  /  Military);Denmark;Demonstrate  aerodynamic  attitude  and  orbit  control  manoeuvres.  ;['https://dl.airtable.com/SqQsC7IiQwOJWTmn0XQ1_SOAR.png']
SSS-2A;CubeSat;3U;not  launched,  expected  in  2020;Shanghai  Jiao  Tong  University  (SJTU);University;Academic  /  Education;China;Educational  training  and  capacity  building  in  space  technology  development.;['https://dl.airtable.com/.attachments/88cc949964ccc8d9cdfb611405d73af0/e4fe33d1/SSS-2A.png',  'https://dl.airtable.com/.attachments/8d8b9dc0d8383eb99fa72000185157eb/cdaabcf6/SSS-2B.png']
SSS-2B;CubeSat;3U;not  launched,  expected  in  2020;TUBITAK-UZAY  (TÜBİTAK  Space  Technologies  Research  Institute);University;Academic  /  Education;Turkey;Educational  training  and  capacity  building  in  space  technology  development.;['https://dl.airtable.com/.attachments/88cc949964ccc8d9cdfb611405d73af0/e4fe33d1/SSS-2A.png',  'https://dl.airtable.com/.attachments/8d8b9dc0d8383eb99fa72000185157eb/cdaabcf6/SSS-2B.png']
AeroCube-9  (LMPC  CubeSat);CubeSat;3U;not  launched,  expected  in  2020;The  Aerospace  Corporation;Non-profit;Government  (Civil  /  Military);US;Flight  demonstration  of  a  Photon-counting  infrared  detector.  ;['https://dl.airtable.com/.attachments/07475c80df8d974e78a8566f4980b128/8fcd1b71/AeroCube-9-LMPC.png']
AOSAT  (AOSAT1,  Asteroid  Origins  Satellite  1);CubeSat;3U;not  launched,  expected  in  2020;Arizona  State  University;University;Academic  /  Education;US;Science  laboratory  that  will  be  the  world’s  first  CubeSat  centrifuge.;['https://dl.airtable.com/.attachments/23dc1dc90674f463dce882017abb12e4/ff786970/Asteroid-Origins-Satellite-AOSAT.png',  'https://dl.airtable.com/.attachments/e6989a22ea86ddce4fdaf2d8ab2fa1a2/c72556b5/AOSAT.png']
ARC2  (Alaska  Research  CubeSat);CubeSat;1U;not  launched,  expected  in  2020;University  of  Alaska;University;Academic  /  Education;US;Demonstrate  CubeSat  platform  technologies.;['https://dl.airtable.com/.attachments/30f3661c8266e9a41bb67ecfa731d244/d99079c9/ARC2.jpg',  'https://dl.airtable.com/er0MC2vhTsiSeR0xFtqD_ARCcomplete.JPG']
ASELSAT;CubeSat;3U;not  launched,  expected  in  2020;ITU  (Istanbul  Technical  University;University;Academic  /  Education;Turkey;Earth  observation  mission  with  X-band  downlink  system.;['https://dl.airtable.com/BziBcrGOSjCiObftIyCc_ASELSAT.jpg']
Bahrain  CubeSat;CubeSat;1U;not  launched,  expected  in  2020;Bahrain's  National  Space  Science  Agency;Space  agency;Government  (Civil  /  Military);Bahrain;Transmit  data  for  weather  forecast  and  measure  air  quality.;[]
CAS-5A;CubeSat;6U;not  launched,  expected  in  2020;CAMSAT  (Chinese  Amateur  Satellite  Group);Non-profit;Academic  /  Education;China;Amateur  radio  communications  and  deploy  femtosatellite  CAS-5B.;['https://dl.airtable.com/zhCiOZSiT1S3N4bq3zr9_CAS-5A%20sketch.jpg']
CAS-5B;Picosatellite;0.5  kg;not  launched,  expected  in  2020;CAMSAT  (Chinese  Amateur  Satellite  Group);Non-profit;Academic  /  Education;China;A  femto-satellite  architecture  90Lx80Wx50H  mm  with  mass:  0.5kg.  Deployed  from  CAS-5A. 
                                        ;[]
Casaa-Sat  (Casaasat);CubeSat;2U;not  launched,  expected  in  2020;Université  d'Aix  -  Marseille;University;Academic  /  Education;France;Characterize  the  Magnetic  Anomaly  of  the  South  Atlantic  (a  particle  sensor  and  a  tiny  camera). 
                                        ;['https://dl.airtable.com/iCT08fnTSUOQRLi5tLyF_casaa-sat.png']
CougSat  (CougSat‑1);CubeSat;1U;not  launched,  expected  in  2020;Washington  State  University;University;Academic  /  Education;US;Educational  mission  and  CubeSat  platform  development.;['https://dl.airtable.com/xZdK3yCJRAYXgyChhrOn_CougSat.png',  'https://dl.airtable.com/.attachments/78f8992de7efa2c1cf1b6f639037f3a3/3712fe30/CougSat_2.jpg']
Doppler  Wind  Temperature  Sounder;CubeSat;6U;not  launched,  expected  in  2020;-;Institute;Government  (Civil  /  Military);US;Doppler  Wind  Temperature  Sounder:  A  Constellation  of  Small  Weather  Satellites  for  Upper  Atmospheric  Dynamics. 
                                        ;['https://dl.airtable.com/.attachments/896374ce2101d49f87fc1f7972bb40d2/ac19df6b/Doppler-Sounder.jpg']
Dream  Sat  01;CubeSat;1U;not  launched,  expected  in  2020;Osaka  Institute  of  Technology;University;Academic  /  Education;Japan;Amateur  radio  communications  and  CubeSat  platform  demonstration.;['https://dl.airtable.com/.attachments/99b1cc31cc4f645517339c78c2901133/14ff83d0/DreamSat.png']
GALAMSAT2  (GALAMSAT-2);CubeSat;3U;not  launched,  expected  in  2020;All  Nations  University;University;Academic  /  Education;Ghana;Monitor  illegal  mining  activities  with  high  resolution  camera.;[]
GOLF-TEE  (Greater  Orbit,  Larger  Footprint  –  Technology  Exploration  Environment);CubeSat;3U;not  launched,  expected  in  2020;AMSAT;Non-profit;Academic  /  Education;US;Vanderbilt  University  Low  Energy  Proton  (LEP)  experiment.;[]
HFSAT;CubeSat;1.5U;not  launched,  expected  in  2020;US  Naval  Academy  Satellite  Lab;University;Academic  /  Education;US;15  metre  to  10  metre  linear  transponder  with  30kHz  bandwidth.  ;[]
HSKSAT;CubeSat;3U;not  launched,  expected  in  2020;HSK  Amateur  Radio  Club  (Harada  Seiki  Kogyo);Non-profit;Academic  /  Education;Japan;Experiment  with  high  speed  communication  techniques  over  the  amateur  radio  community.;[]
IDEASSat;CubeSat;3U;not  launched,  expected  in  2020;National  Central  University;University;Academic  /  Education;Taiwan;Measure  ionospheric  structure  and  plasma  irregularities  for  radio  communications  monitoring.;['https://dl.airtable.com/.attachments/962aa2e9472b851df3e710541eaf3ed8/9f9db4e4/IDEASSat.png',  'https://dl.airtable.com/.attachments/c345dcaa6a8e09a9cdd0305ba2a253d0/6d425b2b/IDEASSat_2.png']
IGOSat  (Ionosphere  and  Gamma  -ray  Observation  Satellite);CubeSat;3U;not  launched,  expected  in  2020;Université  de  Paris  7  -  Diderot;University;Academic  /  Education;France;Measure  the  ionosphere  and  reconstruct  ionospheric  electron  density  profile  using  radio  occultation  technique.;['https://dl.airtable.com/Sbw5nIpgQOe2JfEHdt9B_IGOSat.jpg',  'https://dl.airtable.com/.attachments/cf831ee49e7be9101e1541b80a81f022/0502640b/IGOSat_2.png',  'https://dl.airtable.com/.attachments/7b4eddc2f047b1a6332861d7b4126eec/a3f8a085/IGOSat_3.png']
Iskra  5  (Iskra-5);CubeSat;1U;not  launched,  expected  in  2020;Moscow  Aviation  Institute  (MAI);University;Academic  /  Education;Russia;Provide  amateur  communications,  including  transmission  of  images  in  SSTV  format.;[]
KITSUNE  (Kyutech  standardized  bus  Imaging  Technology  System  Utilizing  Networking  and  Electron  content  measurements);CubeSat;6U;not  launched,  expected  in  2020;Kyushu  Institute  of  technology;University;Academic  /  Education;Japan;Imaging  mission,  Kyutech  Standardized  Bus,  IoT  and  Total  electron  content  (TEC)  measurement  mission.;['https://dl.airtable.com/.attachments/b7e038ac412f00e52b746073c928e733/8f655b4e/KITSUNE.png']
KOSEN-1;CubeSat;2U;not  launched,  expected  in  2020;National  Institute  of  Technology;University;Academic  /  Education;Japan;Educational  mission  and  demonstrate  CubeSat  platform  technologies.;['https://dl.airtable.com/.attachments/037b257d021e8308680c7b1388b77052/c881f4a4/KOSEN-1.jpg']
LEDSAT  (LED-based  Satellite);CubeSat;1U;not  launched,  expected  in  2020;Sapienza  University  of  Rome;University;Academic  /  Education;Italy;Equipped  with  LEDs  and  retroreflectors  for  optical  tracking  from  ground.  ;['https://dl.airtable.com/b6rXvGlbTDmXPfkmORv8_LEDSat.png',  'https://dl.airtable.com/.attachments/fd2a0430743a35e7507d8ca42318b5d0/94d1684d/LEDSat_4.png',  'https://dl.airtable.com/.attachments/c200a1a01027d8b59aadbbcb17ceaf36/635363bc/LEDSat_3.png',  'https://dl.airtable.com/.attachments/8e5dfb2b5614c68dd0b7a80dcc1fbf2f/fbafc1b8/LEDSat_2.png']
LinkSat  (BRIAN);CubeSat;3U;not  launched,  expected  in  2020;University  at  Buffalo  (UB);University;Academic  /  Education;US;Measure  the  orbital  radio  frequency  noise  environment  across  commonly  used  nano-satellite  frequency  bands.;['https://dl.airtable.com/jq3yBB6RjyMSOeipMHYs_linksat__1.jpg']
MOCI  (Multi-view  Onboard  Computational  Imager,  Mapping  and  Ocean  Color  Imager);CubeSat;6U;not  launched,  expected  in  2020;University  of  Georgia;University;Academic  /  Education;US;Generate  3D  point  clouds  of  large  scale  structures  on  the  Earth's  surface.  ;['https://dl.airtable.com/GCDVGjuITrGzcFXLfVSk_moci-patch.png']
Nigeria  EduSat-2;CubeSat;1U;not  launched,  expected  in  2020;Federal  University  of  Technology  Akure;University;Academic  /  Education;Nigeria;On  board  an  infrared  camera  which  will  be  used  for  detecting  diseased  crop,  as  well  as  employed  for  other  agricultural  purposes. 
                                        ;[]
OPAL  (Optical  Profiling  of  the  Atmospheric  Limb);CubeSat;3U;not  launched,  expected  in  2020;Utah  State  University;University;Academic  /  Education;US;Dynamic  profiling  of  the  lower  thermosphere,  90  -  160  km.;['https://dl.airtable.com/.attachments/3554ce3f36fa31435e25738871df9e9a/1a23e617/OPAL_Auto6.jpeg']
Opusat-II;CubeSat;2U;not  launched,  expected  in  2020;Osaka  Prefecture  University;University;Academic  /  Education;Japan;High-speed  communication  performance  evaluation.  Message  box  service.  Increase  the  population  of  amateur  radio  operators. 
                                        ;['https://dl.airtable.com/vUwoRXVaQXOIzrqaicJh_opusat-ii_opened.jpg']
OrbiCraft  -  Zorkiy;CubeSat;6U;not  launched,  expected  in  2020;Sputnix;Company;Commercial;Russia;Demonstration  of  new  CubeSat  platform  and  remote  sensing  camera.;['https://dl.airtable.com/.attachments/3d9abd60547c6d68df44be063061ac4c/18fa066e/OrbiCraft-Zorkiy.jpg']
Painani-II;CubeSat;3U;not  launched,  expected  in  2020;University  of  the  Mexican  Army  and  Air  Force;University;Academic  /  Education;Mexico;It  will  carry  a  low  resolution  camera  and  proposes  an  S  Band  downlink  using  frequency  hopping  technology  for  the  images. 
                                        ;[]
RSP-01  (RymanSat  Project);CubeSat;1U;not  launched,  expected  in  2020;Rymansat  Project  ;Company;Commercial;Japan;Send  the  picture  of  satellite  itself,  taken  by  onboard  camera.;['https://dl.airtable.com/qtjqrfrQuuVWcwdatyti_rsp_rsp-00_em-e1525793310494.jpg']
SABOR  Capability  Demonstration;CubeSat;6U;not  launched,  expected  in  2020;US  Army  Space  and  Missile  Defense  Command;Military;Government  (Civil  /  Military);US;Radar  calibration  mission  to  benefit  Army  Warfighter  in  theater.;['https://dl.airtable.com/.attachments/02e9e06f3f0eeb2fa6e75f5cf8d11b37/8a56f488/SABOR.png']
SATLLA-1  (SATTLA  1.0);CubeSat;1U;not  launched,  expected  in  2020;Ariel  University;University;Academic  /  Education;Israel;Educational  amateur  radio  with  high-power  LEDs  for  optical  communication.;['https://dl.airtable.com/.attachments/72311c3da7712f7323bcf651b614dcbd/2ae9b995/SATTLA-1_3.jpeg',  'https://dl.airtable.com/.attachments/95da77770acc137115048b56adfa88a2/6f2ea8fd/SATTLA-1_2.jpeg',  'https://dl.airtable.com/.attachments/2b7d9e5be7e31603d8d7fd19770187d6/061d9636/SATTLA-1.jpeg']
SpaceICE;CubeSat;3U;not  launched,  expected  in  2020;University  of  Illinois;University;Academic  /  Education;US;Test  freeze-casting  technique  in  space.;['https://dl.airtable.com/.attachments/1f1217c9c0387dd258eb05a6b519ba6c/edbda98d/SpaceICE.png']
SunCube  1  (AOSAT1);Picosatellite;SunCube;not  launched,  expected  in  2020;Arizona  State  University;University;Academic  /  Education;US;First  SunCube,  3  cm  by  3  cm  by  3  cm. 
                                        ;['https://dl.airtable.com/KjJFL64REajpYiY0SmiA_suncube2.jpg']
TARGIT  (LiDAR  CubeSat);CubeSat;3U;not  launched,  expected  in  2020;Georgia  Tech  Research  Corporation;Non-profit;Government  (Civil  /  Military);US;Assemble,  test,  and  integrate  a  miniaturized  LiDAR  imaging  camera  and  deployable  inflatable  for  target.;['https://dl.airtable.com/pGTsZN6T8qma6IPVhhJU_TARGIT.png']
Warp-1;CubeSat;1U;not  launched,  expected  in  2020;University  of  Tsukuba;University;Academic  /  Education;Japan;Demonstrate  custom  developed  radio  transmitter  in  space.;[]
IT-SPINS  (Spacebuoy,  Ionospheric-Thermospheric  Scanning  Photometer  for  Ion-Neutral  Studies  );CubeSat;3U;not  launched,  expected  in  2021;Montana  State  University;University;Academic  /  Education;US;Provide  the  first  two-dimensional  (2D)  tomographic  imaging  addressing  the  basic  nature  of  the  nocturnal  ionosphere.;['https://dl.airtable.com/fKRPcNQr2mcAAXNqvvBA_IT-SPINS_Exploded_View_Annotated.jpg']
CAPSat;CubeSat;3U;not  launched,  expected  in  2021;University  of  Illinois;University;Academic  /  Education;US;Investigate  attitude  control  with  strain-actuated  deployable  panels  plus  active  thermal  system.;['https://dl.airtable.com/T7MynWDKSlKw5LMsc0sI_CapSat%20open.jpg']
EagleSat-2;CubeSat;3U;not  launched,  expected  in  2021;Embry-Riddle  Aeronautical  University,  Prescott;University;Academic  /  Education;US;Detect  cosmic  rays  and  study  effects  of  radiation  on  various  memory  chips.;['https://dl.airtable.com/dg7COtlWRmGVtyuR1s33_EagleSat-2.jpg']
PR-CuNaR2  (Puerto  Rico  CubeSat  NanoRocks-2,  PR_CuNar2);CubeSat;3U;not  launched,  expected  in  2021;Inter  American  University  of  Puerto  Rico;University;Academic  /  Education;US;Study  collisions  among  millimeter-sized  particles  in  a  protoplanetary  disk.  ;['https://dl.airtable.com/.attachments/395b477f0b196c5620576a900e68a66f/dd2ab9ed/PR-CUNaR2.png']
RamSat;CubeSat;1U;not  launched,  expected  in  2021;Oak  Ridge  Public  Schools;School;Academic  /  Education;US;Education  mission  to  develop  and  implement  a  middle  school  STEM  curriculum  for  building  a  CubeSat. 
                                        ;['https://dl.airtable.com/.attachments/a8258c88bfa0c07d613e3216e10c61db/5eee0298/RamSat_3.jpg',  'https://dl.airtable.com/.attachments/ebba99a58a858ad419acfd25462b804d/8b4b0e13/RamSat_2.jpg',  'https://dl.airtable.com/.attachments/94722a9401cecc64504c8f635862faf2/081734fe/RamSat_1.jpg',  'https://dl.airtable.com/.attachments/982c0d68b26777f94388554bf6bbbc7f/ef16e457/RamSat_4.jpg']
SPACE  HAUC  1;CubeSat;3U;not  launched,  expected  in  2021;University  of  Massachusetts;University;Academic  /  Education;US;Educational  training  and  X-band  beam  steering  with  phased  array  of  patch  antennas.;['https://dl.airtable.com/7C6lCdaSMy7HY5pWr8ED_Space%20Hauc%201.jpg']
Stratus;CubeSat;3U;not  launched,  expected  in  2021;Michigan  Technological  University;University;Academic  /  Education;US;Demonstrate  measuring  cloud  fraction,  cloud  top  height,  and  cloud  top  wind  with  performance  comparable  to  NASA’s  spacecraft.  ;['https://dl.airtable.com/WlsEQUbaSaS5P8fjad9b_Stratus_With_Solar_Panels-1.png']
Arduiqube  DIY1  (DIYSATELLITE);PocketQube;PocketQube  1p;not  launched,  expected  in  2021;Diysatellite  Group;Non-profit;Academic  /  Education;Argentina;Educational  mission  to  measure  the  health  and  attitude  of  the  satellite.;['https://dl.airtable.com/.attachments/7d1685fc2580738e1887172a249c70c3/0959d792/ArduiQube.jpg']
Fukui  Prefectural  Satellite;CubeSat;3U;not  launched,  expected  in  2021;Fukui  Satellite  Technology  &  Research  Association  (FSTRA);Institute;Government  (Civil  /  Military);Japan;The  satellites  will  be  used  in  Rwanda  in  East  Africa  and  will  be  used  to  collect  data  such  as  disaster  monitoring  and  soil  moisture  levels. 
                                        ;['https://dl.airtable.com/.attachments/ee30e1049e51f691c0ca6e1fb44792be/83183dad/Fukui-Prefectural-Satellite.jpg']
KSU_CubeSat;CubeSat;1U;not  launched,  expected  in  2021;King  Saud  University;University;Academic  /  Education;Saudi  Arabia;Planning  to  send  telemetry  and  images  from  space  and  repeating  a  received  voice. 
                                        ;['https://dl.airtable.com/.attachments/a6749adccd8f4e9d56416f5c32e92e8c/37078c13/KSU_CubeSat_2.jpg',  'https://dl.airtable.com/.attachments/02ffff54493f9d76130efc89ced450e4/1aa6de42/KSU_CubeSat.jpg']
NANOSATC-BR2;CubeSat;2U;not  launched,  expected  in  2021;National  Institute  for  Space  Research;Institute;Government  (Civil  /  Military);Brazil;Langmuir  probe,  attitude  determination  system. 
                                        ;['https://dl.airtable.com/3nV24Nt3QueZd7jHbxfJ_NanosatC-Br2.png',  'https://dl.airtable.com/.attachments/3ec0fa17f279e20a1fcc0ee71ea8bc73/4a9bae0f/NanosatC-Br2_2.png']
Centauri-3;CubeSat;6U;not  launched,  expected  in  2021;Fleet  Space;Company;Commercial;Australia;IoT  satellite  network. 
                                        ;['https://dl.airtable.com/.attachments/14fa4a7bff55baa67fc61750ccc54da9/1f09c0db/Fleet-Centauri3_3.jpg',  'https://dl.airtable.com/.attachments/f363d37558c624ad8ab48c7ca439b963/d4c7c3ca/Fleet-Centauri3.jpg',  'https://dl.airtable.com/.attachments/49300290d33af605495488c1cc58de96/0cd6243f/Fleet-Centauri3_4.jpg',  'https://dl.airtable.com/.attachments/0a9e630cef1a389fa9e5fa1a648b03e0/e6b725bc/Fleet-Centauri3_2.jpg']
eve-1;CubeSat;3U;not  launched,  expected  in  2021;OroraTech;Company;Commercial;Germany;First  prototype  for  wildfire  detection  constellation.;['https://dl.airtable.com/.attachments/aa110f1b253f1081cee188e9cada7d28/2dc11268/OroraTech-patch.png',  'https://dl.airtable.com/.attachments/f8cea8d1f794b14765a06fcf3d2f0eb5/1826ec22/OroraTech-eve-1.png']
CuPID  (Cusp  Plasma  Imaging  Detector);CubeSat;6U;not  launched,  expected  in  2021;Boston  University;University;Academic  /  Education;US;Carry  a  miniaturized  soft  x-ray  imaging  telescope.;['https://dl.airtable.com/K6bY9H4S2WlKuyfgk9xf_Cupid_flight_20180725-1-636x636.jpg']
CUTE  (Colorado  Ultraviolet  Transit  Experiment);CubeSat;6U;not  launched,  expected  in  2021;University  of  Colorado  Boulder;University;Academic  /  Education;US;Characterize  the  composition  and  mass-loss  rates  of  exoplanet  atmospheres.  ;['https://dl.airtable.com/930YQGPzTi6DZexJAVZb_cute_in_space.jpg']
CySat  1  (CySat-1);CubeSat;3U;not  launched,  expected  in  2021;Iowa  State  University;University;Academic  /  Education;US;Educational  training  and  demonstration  of  CubeSat  platform  technologies  for  asteroid  surveying  payload.;['https://dl.airtable.com/mTr4I8bbQuWfYU2rVVpv_CySat-1.webp',  'https://dl.airtable.com/.attachments/7e17789887c7891ecdc6b93121e9c1ad/c71595ca/CySat-1.bmp',  'https://dl.airtable.com/.attachments/bcdc973cb1410b49095daf57e0a0b7be/74f8903c/CySat-1.png']
BroncoSat-1;CubeSat;1.5U;not  launched,  expected  in  2021;Cal  Poly  Pomona;University;Academic  /  Education;US;Demonstrating  NVIDIA  Jetson  Nano  GPU  as  secondary  flight  computer.;['https://dl.airtable.com/.attachments/96da1a9ae352ad011c3e75199a95b55b/0321b2cc/BroncoSat-1.bmp']
Sharjahsat-1  (Sharjah-Sat-1);CubeSat;3U;not  launched,  expected  in  2021;University  of  Sharjah;University;Academic  /  Education;United  Arab  Emirates;Educational  capability  development  mission  with  X-Ray  Detector  (iXRD)  and  camera  payloads.;['https://dl.airtable.com/.attachments/50bd143bb9c67187dc397e2d4879d236/a3bb50bf/sharjah-sat-1.png']
JAGSAT;CubeSat;2U;not  launched,  expected  in  2021;University  of  South  Alabama;University;Academic  /  Education;US;Use  a  time  domain  impedance  probe  to  conduct  spatially  resolved  measurements  of  plasma  density  irregularities  in  the  ionosphere. 
                                        ;[]
