Name;Type;Units  or  mass;Status;Launched;NORAD  ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Launch  brokerer;Oneliner;Images
AAUSAT2  (AAUSat-2,  AAUSAT-II);CubeSat;1U;Operational  (Last  SatNOGS  report  2019-05-23  checked  on  2019-05-24);2008-04-28;32788;XPOD  (eXperimental  Push  Out  Deployer)  [UTIAS/SFL];PSLV;Aalborg  University;University;Academic  /  Education;Denmark;Space  Flight  Laboratory  (UTIAS-SFL);Education  space  systems  engineering  with  focus  on  ADCS  and  gamma-ray  experiment.;['https://dl.airtable.com/8AuIgyoJRByEvIa7l1Xt_AAUSAT2.jpg']
Compass-1;CubeSat;1U;Was  operational  until  2012-04-14,  retired  (eoPortal).;2008-04-28;32787;XPOD  (eXperimental  Push  Out  Deployer)  [UTIAS/SFL];PSLV;Aachen  University  of  Applied  Sciences;University;Academic  /  Education;Germany;Space  Flight  Laboratory  (UTIAS-SFL);Demonstrate  CubeSat  platform  technologies  for  educational  purposes  and  GPS  receiver.  Camera  to  take  photos.;['https://dl.airtable.com/iv39rIVS16aKWOfVLWqh_COMPASS-1_PR-Bild.jpg',  'https://dl.airtable.com/CZZLA7LaSbCWUFMeInXi_compass1_fm.jpg']
SEEDS-2  (SEEDS-II,  Space  Engineering  EDucation  Satellite-2);CubeSat;1U;Operational  (Personal  contact  2018-08-07,  Last  SatNOGS  report  2019-05-24  checked  on  2019-05-24);2008-04-28;32791;XPOD  (eXperimental  Push  Out  Deployer)  [UTIAS/SFL];PSLV;Nihon  University;University;Academic  /  Education;Japan;Space  Flight  Laboratory  (UTIAS-SFL);Demonstrate  the  reception  of  spacecraft  parameter  data.;['https://dl.airtable.com/Mer50fu3SEKRcSTPwvEj_seeds_and_araki2.jpg']
CP6  (Polysat);CubeSat;1U;Reentry  2011-10-06.  Was  operational.;2009-05-19;35003;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;California  Polytechnic  University;University;Academic  /  Education;US;Cal  Poly,  ?;Backup  to  CP3  with  focus  on  ADCS  and  deployment  of  spring  steel  tapes.;['https://dl.airtable.com/8b7dmoIYSiqm1pjsHbX3_CP6.png']
HawkSat  I;CubeSat;1U;Reentry  2011-09-04.  No  signal.;2009-05-19;35004;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;Hawk  Institute  of  Space  Sciences;Company;Commercial;US;Cal  Poly,  ?;Demonstrate  CubeSat  platform  technologies  and  materials  experiment.;['https://dl.airtable.com/2IId4CXTASjj5wYe4hjQ_hawksat-1__1.jpg']
PharmaSat  1  (GeneSat-2);CubeSat;3U;Reentry  2012-08-14.  Was  operational  until  2009-XX-XX.  Beacon  was  turned  off  on  2009-06-15.  Lost  S-band  contact  before.;2009-05-19;35002;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;NASA  Ames  Research  Center;Space  agency;Government  (Civil  /  Military);US;Cal  Poly,  ?;Controlled  environment  micro-laboratory  packed  with  sensors  and  optical  systems.;['https://dl.airtable.com/Hbqgwu4TTKbUnRacOqPA_PharmaSat-1.jpg']
ITUpSAT-1;CubeSat;1U;Operational?  (Last  SatNOGS  report  with  data  2019-02-08  checked  on  2019-05-24);2009-09-23;35935;PSL  /  PSL-P  (Picosatellite  Launcher)  [Astrofein];PSLV;Istanbul  Technical  University;University;Academic  /  Education;Turkey;ISILaunch;Educational  space  systems  engineering  and  CMOS  camera.;['https://dl.airtable.com/KspOhHkQ3X5M4UnYINeA_itupsat1-24a43f32-585f-42f1-aca5-d73ff73bf7b-resize-750.jpeg']
UWE-2;CubeSat;1U;Was  operational,  unknown  time.;2009-09-23;35934;PSL  /  PSL-P  (Picosatellite  Launcher)  [Astrofein];PSLV;University  of  Würzburg;University;Academic  /  Education;Germany;ISILaunch;Demonstrate  CubeSat  platform  technologies  with  focus  on  ADCS.  ;['https://dl.airtable.com/hRStUdJ6Tfeq5pWjCNvO_UWE-2.jpg']
Negai  (Negai-Star);CubeSat;1U;Reentry  2010-06-26.  Was  operational.;2010-05-20;36575;J-POD  (JAXA  Picosatellite  Deployer);H-IIA  (H2A);Soka  University;University;Academic  /  Education;Japan;JAXA;Commercial  FPGA  and  camera.;['https://dl.airtable.com/gyh7ok6gSHCQ6crZoch0_negaistar.jpg']
Waseda-SAT2;CubeSat;1U;Reentry  2010-07-12.  No  signal  (Skyrocket  and  lack  of  updates  to  website);2010-05-20;36574;J-POD  (JAXA  Picosatellite  Deployer);H-IIA  (H2A);Waseda  University;University;Academic  /  Education;Japan;JAXA;Demonstrate  CubeSat  platform  technologies  and  paddles  for  attitude  control.;['https://dl.airtable.com/.attachments/6d2df1a015f0b58635e50bd4d6804718/75558eae/wasedasat-2_4.jpg',  'https://dl.airtable.com/.attachments/ab83ddf1655411b8292018f63a7b270c/af7b51ce/wasedasat-2_3.jpg',  'https://dl.airtable.com/.attachments/d664368a9908ad389ce539b9a0f2dc71/8c2ded4e/wasedasat-2_1.jpg',  'https://dl.airtable.com/.attachments/ee70ce6fa7746810406155d4ee1487c3/0ec5be5c/wasedasat-2_2.jpg']
TISAT-1;CubeSat;1U;Semi-operational?  Fell  silent  2015-03-15,  but  came  back?  (SatNOGS  report  2018-12-16);2010-07-12;36799;XPOD  (eXperimental  Push  Out  Deployer)  [UTIAS/SFL];PSLV;University  of  Applied  Sciences  of  Southern  Switzerland  (SUPSI);University;Academic  /  Education;Switzerland;Space  Flight  Laboratory  (UTIAS-SFL);Materials  experiment  to  monitor  atomic  oxygen  effects.;['https://dl.airtable.com/FvGFpOAQ2SD9FBJaNMo7_tisat1_full.jpg']
