Name;Type;Units or mass;Status;Launched;NORAD ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Launch brokerer;Oneliner
Negai (Negai-Star);CubeSat;1U;Reentry 2010-06-26. Was operational.;2010-05-20;36575;J-POD (JAXA Picosatellite Deployer);H-IIA (H2A);Soka University;University;Academic / Education;Japan;JAXA;Commercial FPGA and camera.
Waseda-SAT2;CubeSat;1U;Reentry 2010-07-12. No signal (Skyrocket and lack of updates to website);2010-05-20;36574;J-POD (JAXA Picosatellite Deployer);H-IIA (H2A);Waseda University;University;Academic / Education;Japan;JAXA;Demonstrate CubeSat platform technologies and paddles for attitude control.
TISAT-1;CubeSat;1U;Semi-operational? Fell silent 2015-03-15, but came back? (SatNOGS report 2018-12-16);2010-07-12;36799;XPOD (eXperimental Push Out Deployer) [UTIAS/SFL];PSLV;University of Applied Sciences of Southern Switzerland (SUPSI);University;Academic / Education;Switzerland;Space Flight Laboratory (UTIAS-SFL);Materials experiment to monitor atomic oxygen effects.
Hermes 1;CubeSat;1U;Launch failure;2011-03-04;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur-C (Taurus-XL);University of Colorado in Boulder;University;Academic / Education;US;Cal Poly, ?;Demonstrate CubeSat platform technologies and high data-rate communication system.
KySat-1;CubeSat;1U;Launch failure;2011-03-04;Launch failure;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur-C (Taurus-XL);Kentucky universities;University;Academic / Education;US;Cal Poly, ?;Educational outreach using mobile ground stations taken to schools.
AubieSat-1 (OSCAR-71, AO 71, AubieSat-OSCAR 71);CubeSat;1U;Was operational until 2013-12-31? (DK3WN report);2011-10-28;37854;P-POD (Poly-Picosatellite Orbital Deployer);Delta II;Auburn University;University;Academic / Education;US;Cal Poly;Measure average density of ionospheric electronics using Faraday rotation effect.
e-st@r (e-star-i);CubeSat;1U;Reentry 2015-01-16. Was operational until 2012-12-XX, communication stopped.;2012-02-13;38079;P-POD (Poly-Picosatellite Orbital Deployer);Vega;Polytechnic University of Turin;University;Academic / Education;Italy;ESA Education Office, Cal Poly;Demonstrate CubeSat platform technologies for educational purposes with focus on ADCS.
Goliat;CubeSat;1U;Reentry 2014-12-31. Was semi-operational until? Intermittent beacons, but no two-way communications.;2012-02-13;38080;P-POD (Poly-Picosatellite Orbital Deployer);Vega;University of Bucharest;University;Academic / Education;Romania;ESA Education Office, Cal Poly;Educational space systems engineering and camera.
UNICubeSat-GG (Gravity Gradient);CubeSat;1U;Reentry 2015-02-06. Was semi-operational until 2012-02-20, 1-2 weeks.;2012-02-13;38085;P-POD (Poly-Picosatellite Orbital Deployer);Vega;Sapienza University of Rome;University;Academic / Education;Italy;ESA Education Office, Cal Poly;Demonstrate passive attitude control technique based on gravity gradient stabilization with deployable boom.
HORYU-2;Nanosatellite;7.1 kg;Semi-operational? Was operational until 2014-07-XX? (Last SatNOGS CW beacons 2019-05-15, but data seems gibberish. Last DK3WN report 2016-07-08. Checked on 2019-05-24);2012-05-17;38340;Custom;H-IIA (H2A);Kyushu Institute of Technology;University;Academic / Education;Japan;JAXA;Demonstration of solar array discharge suppression technologies at 300V and taking photos of Earth. 
CubeBug-1 (Capitán Beto);CubeSat;2U;Was operational until 2013-12-XX? (Online reports end there);2013-04-26;39153;ISIPOD [ISISpace];Long March 2D;Satellogic;Company;Commercial;Argentina;ISILaunch;Demonstrate CubeSat platform technologies including reaction wheels and star tracker.
Black Knight 1 (BK 1);CubeSat;1U;Reentry 2015-07-16. No signal;2013-11-20;39398;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur I;West Point Military Academy;University;Academic / Education;US;Tyvak, ?;Educational training for space systems engineering and camera payload.
Firefly;CubeSat;3U;Reentry 2017-11-01. Was operational.;2013-11-20;39404;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur I;NASA Goddard Space Flight Center;Space agency;Government (Civil / Military);US;Tyvak, ?;Investigate Terrestrial Gamma-ray Flashes (TGFs).
Ho‘oponopono 2 (H2);CubeSat;3U;No signal;2013-11-20;39403;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur I;University of Hawaii at Manoa;University;Academic / Education;US;Tyvak, ?;Radar calibration service.
NPS-SCAT (Naval Postgraduate School Solar Cell Array Tester);CubeSat;1U;Reentry 2015-10-28. Was operational until 2013-11-25, 5 days.;2013-11-20;39389;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur I;Naval Postgraduate School (NPS) ;University;Academic / Education;US;Tyvak, ?;Experiment to measure solar cells degradation.
SwampSat;CubeSat;1U;Reentry 2015-12-13. No signal.;2013-11-20;39402;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur I;University of Florida;University;Academic / Education;US;Tyvak, ?;"Demonstrate on orbit precision three axis attitude control using a pyramidal configuration of control moment gyroscopes.
                    "
Trailblazer (SPA-1 Trailblazer);CubeSat;1U;Reentry 2016-05-22. No signal.;2013-11-20;39400;P-POD (Poly-Picosatellite Orbital Deployer);Minotaur I;University of New Mexico;University;Academic / Education;US;Tyvak, ?;Proof-of-concept flight for Space Plug-and-play Architecture. 
CubeBug-2 (Manolito);CubeSat;2U;Operational (Last WR2TV report 2019-05-23 checked on 2019-05-24);2013-11-21;39440;ISIPOD [ISISpace];Dnepr;Satellogic;Company;Commercial;Argentina;ISILaunch;Demonstrate CubeSat platform technologies including reaction wheels and star tracker.
FUNcube-1 (AO-73);CubeSat;1U;Operational (Last DK3WN report 2018-12-28);2013-11-21;39444;ISIPOD [ISISpace];Dnepr;AMSAT-UK;Non-profit;Government (Civil / Military);UK;ISILaunch;Educational and amateur radio mission linear transponder.
HiNCube;CubeSat;1U;No signal;2013-11-21;39445;ISIPOD [ISISpace];Dnepr;Narvik University College;University;Academic / Education;Norway;ISILaunch;Educational training and demonstrate CubeSat platform technologies plus camera.
HumSat-D;CubeSat;1U;Was operational until 2014-08-XX? (Last DK3WN report 2014-08-05, checked 2019-05-24).;2013-11-21;39433;PEPPOD, GPOD (GAUSS Picosatellites Orbital Deployer) [GAUSS];Dnepr;University of Vigo;University;Academic / Education;Spain;GAUSS;Educational training and demonstrate IoT solution.
ICUBE 1;CubeSat;1U;Was operational until 2014-01-08?;2013-11-21;39432;PEPPOD, GPOD (GAUSS Picosatellites Orbital Deployer) [GAUSS];Dnepr;Islamabad Institute of Science and Technology;Institute;Government (Civil / Military);Pakistan;GAUSS;Educational space systems engineering and imaging payload.
OPTOS (Optical Nanosatellite);CubeSat;3U;Was operational? (Confirmed operational in eoPortal, but no recent public news found);2013-11-21;39420;ISIPOD [ISISpace];Dnepr;National Institute of Aerospace Technology;Space agency;Government (Civil / Military);Spain;ISILaunch;Demonstrate CubeSat platform technologies.
UWE-3;CubeSat;1U;Operational (Last W2RTV report 2019-05-24 checked on 2019-05-24);2013-11-21;39446;ISIPOD [ISISpace];Dnepr;University of Würzburg;University;Academic / Education;Germany;ISILaunch;Demonstrate modular CubeSat platform technologies and real-time attitude control.
VELOX-P2 (VELOX-PII, VELOX-P);CubeSat;1U;Was operational? (No recent news found);2013-11-21;39438;ISIPOD [ISISpace];Dnepr;Nanyang Technological University;University;Academic / Education;Singapore;ISILaunch;Educational training and demonstrate CubeSat platform technologies.
M-Cubed 2 (MCUBED-2);CubeSat;1U;Operational (Last W2RTV report 2019-04-20 checked on 2019-05-24);2013-12-06;39469;P-POD (Poly-Picosatellite Orbital Deployer);Atlas V;University of Michigan;University;Academic / Education;US;Tyvak, ?;Flight evaluation of a NASA JPL image processing FPGA called COVE.
TacSat-6;CubeSat;3U;Operational? (No public news found);2013-12-06;39473;P-POD (Poly-Picosatellite Orbital Deployer);Atlas V;Space & Missile Defense Command;Military;Government (Civil / Military);US;Tyvak, ?;"The mission will demonstrate nanosatellite communication capabilities.
                    "
ARTSAT1: Invader (INteractiVe satellite for Art and Design Experimental Research);CubeSat;1U;Reentry 2014-09-02. Was operational.;2014-02-27;39577;J-POD (JAXA Picosatellite Deployer);H-IIA (H2A);Tama Art University;University;Academic / Education;Japan;JAXA;Artistic use of satellite telemetry.
SPROUT;Nanosatellite;6.7 kg;Semi-operational? Was operational until 2016-09-XX? (Last DK3WN report 2016-08-27. Occasional reports from SatNOGS checked on 2019-05-25);2014-05-24;39770;Custom;H-IIA (H2A);Nihon University;University;Academic / Education;Japan;JAXA, ?;Demonstration of inflatable membrane structure.
Duchifat-1;CubeSat;1U;Operational (Last JA0CAW report 2019-03-14. Last SatNOGS report 2019-05-24.);2014-06-19;40021;QuadPack (XL) [ISISpace];Dnepr;Herzliya Science Centre;School;Academic / Education;Israel;ISILaunch;Transmit real-time information via radio amateur packets APRS protocol to receive with handheld radios.
PACE (Platform for Attitude Control Experiments);CubeSat;2U;No signal;2014-06-19;40022;QuadPack (XL) [ISISpace];Dnepr;National Cheng Kung University;University;Academic / Education;Taiwan;ISILaunch;Conduct attitude control experiment to validate technologies.
PolyITAN-1;CubeSat;1U;Operational (Last SatNOGS report 2018-12-22 with proper data. Last DK3WN report 2019-03-12. Checked on 2019-05-25);2014-06-19;40042;QuadPack (XL) [ISISpace];Dnepr;National Technical University of Ukraine;University;Academic / Education;Ukraine;ISILaunch;Educational training and demonstrate CubeSat platform.
RACE (CHARM, Radiometer Atmospheric CubeSat Experiment, CubeSat Hydrometric Atmospheric Radiometer Mission);CubeSat;3U;Launch failure;2014-10-28;Launch failure;NRCSD (NanoRacks CubeSat Deployer) [Quad-M];Antares;The University of Texas at Austin;University;Academic / Education;US;NanoRacks;Spaceborne validation of a 183 GHz radiometer.
GRIFEX (GEO-CAPE ROIC In-Flight Performance Experiment);CubeSat;3U;Operational (Last PA5OXW report 2019-05-20 checked on 2019-05-25);2015-01-31;40379;P-POD (Poly-Picosatellite Orbital Deployer);Delta II;University of Michigan;University;Academic / Education;US;Tyvak, ?;Validate technology for the Panchromatic Fourier Transform Spectrometer (PanFTS).
PSat A (PSat, ParkinsonSat A, UltraSat1?, NO-84);CubeSat;1.5U;Operational (Last KE8AKW report 2019-05-15 checked on 2019-05-25);2015-05-20;40654;P-POD (Poly-Picosatellite Orbital Deployer);Atlas V;US Naval Academy Satellite Lab;University;Academic / Education;US;Tyvak, ?;Communications transponder for IoT demonstration.
USS Langley (Unix Space Server);CubeSat;3U;No signal (Unable to find successful reports after statement that it has not been heard from);2015-05-20;40652;P-POD (Poly-Picosatellite Orbital Deployer);Atlas V;US Naval Academy Satellite Lab;University;Academic / Education;US;Tyvak, ?;Unix server in space and transponder experiments.
BisonSat (Nwist Q̓ʷiq̓ʷáy, SKC);CubeSat;1U;Semi-operational, no commanding possible. (Last DK3WN report 2018-10-20).;2015-10-08;40968;P-POD (Poly-Picosatellite Orbital Deployer);Atlas V;Salish Kootenai College;University;Academic / Education;US;Tyvak, ?;Educational training and camera to study various hydrologic processes.
Fox-1A (AMSAT-OSCAR 85, AO-85);CubeSat;1U;Operational (Was declared end-of-mission in February 2020 and was silent for months, but latest SatNOGS report with data 2020-04-03);2015-10-08;40967;P-POD (Poly-Picosatellite Orbital Deployer);Atlas V;The Radio Amateur Satellite Corporation (AMSAT);Non-profit;Government (Civil / Military);US;Tyvak, ?;Amateur radio mission with transponder.
LMRSTSat (LMRSat , LMRST-Sat, Low Mass Radio Science Transponder - Satellite);CubeSat;2U;No signal;2015-10-08;40971;P-POD (Poly-Picosatellite Orbital Deployer);Atlas V;Stanford University;University;Academic / Education;US;Tyvak, ?;Far-field source for calibration of the Deep Space Network in X-band.
PrintSat;CubeSat;1U;Launch failure;2015-11-04;Launch failure;NLAS (Nanosatellite Launch Adapter System) [NASA];Super Strypi (SPARK);Montana State University;University;Academic / Education;US;ORS Office (US DoD);Demonstrate inter-satellite communications.
SNAPS (Stanford Nano Picture Satellite);CubeSat;0.25U;On ISS? Was it even launched or deployed? Probably not. (No public news found);2015-12-06;On ISS? Was it launched or deployed?;-;Atlas V;Stanford University;University;Academic / Education;US;NanoRacks;Image other CubeSats autonomously and demonstrate CubeSat platform technologies.
Galassia;CubeSat;2U;Operational (Smallsat 2018);2015-12-16;41170;ISIPOD [ISISpace];PSLV;National University of Singapore;University;Academic / Education;Singapore;ISILaunch, ?;Educational traiming and measure total electron count and photon-entangling payload.
HORYU-4 (AEGIS);Nanosatellite;10 kg;Operational? (Last SatNOGS report 2019-05-25, but data is suspicious. Checked 2019-05-25);2016-02-17;41340;Custom;H-IIA (H2A);Kyushu Institute of Technology;University;Academic / Education;Japan;JAXA, ?;Test experimental high-voltage solar array and observing corresponding spacecraft charging effects on the satellite.
e-st@r-II (e-star-ii);CubeSat;1U;Operational? (Last report from @supertrack_it 2019-04-25 shows good telemetry. Last DK3WN report 2016-09-04. SatNOGS has reports, but no telemetry.);2016-04-25;41459;ISIPOD [ISISpace];Sojuz;Polytechnic University of Turin;University;Academic / Education;Italy;ISILaunch, ?;Educational training and demonstrate ADCS technologies.
OUFTI-1;CubeSat;1U;Semi-operational? Was operational until 2016-05-07, 12 days. Stopped transmitting and cloud no longer continue. (Last SatNOGS report 2019-05-03 with data, but corrupt and only empty beacon?);2016-04-25;41458;ISIPOD [ISISpace];Sojuz;University of Liège;University;Academic / Education;Belgium;ISILaunch, ?;"Test the use of the D-STAR communication protocol in space.
                    "
3CAT-2 (3CAT2);CubeSat;6U;Was operational? (Inactive accordign to website. Last SatNOGS report 2019-05-23, but never any data. Checked 2019-05-25);2016-08-15;41732;ISIPOD [ISISpace];Long March 2D;Universitat Politècnica de Catalunya;University;Academic / Education;Spain;ISILaunch;Perform ocean altimetry by means of Global Navigation Satellite Systems Reflectometry (GNSS-R). 
CAS 2T (Chinese Amateur Radio Satellite 2T, Fengtai-1, CAS-2T);CubeSat;2U;Semi-operational. Attached to the upper stage on purpose. Lots of CW telemetry not correct.;2016-11-09;41847;Unknown;Long March 11;CAMSAT (Chinese Amateur Satellite Group);Non-profit;Government (Civil / Military);China;Unknown;"FM transponder.
                    "
Lishui-1 (Lishui 1-01);CubeSat;3U;Operational? (No public news found);2016-11-09;41845;Unknown;Long March 11;Zhejiang Lizhui Electronic Technology Co;Company;Commercial;China;Unknown;"\-
                    "
CELTEE 1;CubeSat;1U;Operational? (No public news found);2016-11-11;41850;P-POD (Poly-Picosatellite Orbital Deployer);Atlas V;Air Force Research Laboratory (AFRL);Military;Government (Civil / Military);US;Tyvak;Evaluate the performance of M42 Techs Enhanced Location Transponder (ELT). 
XY S1 (Xingyun Shiyan 1, Dong Fang Hong 166);CubeSat;2U;Operational? (No public news found);2017-01-09;41913;Unknown;Kuaizhou-1A;Northwestern Polytechnical University;University;Academic / Education;China;Unknown;"Test L-band narrow-band communications. Demonstration for Xingyun / Hongyun constellation.
                    "
Al-Farabi 1;CubeSat;2U;No signal (No public news found);2017-02-15;42016;QuadPack (XL) [ISISpace];PSLV;Al-Farabi Kazak National University;University;Academic / Education;Kazakhstan;ISILaunch;Demonstrate CubeSat platform technologies and take photos of Earth.
BGUSat (NEGEVSAT);CubeSat;3U;Was operational until? (First photo published on 2017-05-08, but lack of regular updates);2017-02-15;41999;QuadPack (XL) [ISISpace];PSLV;Ben Gurion University Satellite;University;Academic / Education;Israel;Spaceflight;"First educational satellite. VGA Camera, ADCS.
                    "
SUSat (AU01);CubeSat;2U;Reentry 2019-03-21. No signal (Official website, but is now down. Unable to find contact reports also);2017-04-18;42730;NRCSD (NanoRacks CubeSat Deployer) [Quad-M];Atlas V (QB50);University of Adelaide;University;Academic / Education;Australia;NanoRacks;Part of QB50 to study lower termosphere.
NUDTSat (BE06, CN06);CubeSat;2U;Operational (Last SatNOGS report with data 2019-05-03 checked on 2019-05-27);2017-06-23;42787;QuadPack (XL) [ISISpace];PSLV (QB50);National University of Defense Technology;University;Academic / Education;China;ISILaunch;Part of QB50 to study lower termosphere.
ROBUSTA-1B;CubeSat;1U;Operational (Last SatNOGS report with data 2019-05-25 checked on 2019-05-25);2017-06-23;42792;QuadPack (XL) [ISISpace];PSLV;University of Montpellier II;University;Academic / Education;France;ISILaunch;"Measure the radiation induced degradation of electronic devices.
                    "
SUCHAI;CubeSat;1U;Was operational until 2018-09-23, 457 days. (Public news);2017-06-23;42788;QuadPack (XL) [ISISpace];PSLV;University of Chile;University;Academic / Education;Chile;ISILaunch;Educational training and optical camera to take photos of the Earth.
UCLSat (GB03);CubeSat;2U;Was operational until 2017-09-XX? (Last DK3WN report 2017-08-13. Last SatNOGS report with data 20017-09-25. There are later reports, but unconfirmed. Skyrocket writes that it apparently did not work so it could have been semi-operational. Checked 2019-05-27);2017-06-23;42765;QuadPack (XL) [ISISpace];PSLV (QB50);University College London;University;Academic / Education;UK;ISILaunch;Part of QB50 to study lower termosphere.
VZLUSAT-1 (CZ02);CubeSat;2U;Operational (Official news on 2020-06-30);2017-06-23;42790;QuadPack (XL) [ISISpace];PSLV (QB50);Aerospace Research and Test Establishment;Institute;Government (Civil / Military);Czech;ISILaunch;Part of QB50 to study lower termosphere.
RadFxSat (Fox-1B);CubeSat;1U;Operational (Last SatNOGS report 2019-05-26 with data checked on 2019-05-26 and Smallsat 2019);2017-11-14;43017;P-POD (Poly-Picosatellite Orbital Deployer);Delta II;Vanderbilt University and The Radio Amateur Satellite Corporation.;University;Academic / Education;US;Tyvak, ?;Demonstrate an on-orbit platform for radiation qualification of components for space flight.
EagleSat 1;CubeSat;1U;No signal (Official news on 2018-05-14 and tweets about lack of signals. Reports in SatNOGS, but unlikely to be correct satellite. Checked on 2019-05-26);2017-11-18;43018;P-POD (Poly-Picosatellite Orbital Deployer);Delta II;Embry-Riddle Aeronautical University, Prescott;University;Academic / Education;US;Tyvak, ?;Test new memory types in space and detect Space Fence.
DemoSat 2;CubeSat;3U;Operational (Public news on 2018-03-01);2018-01-12;43127;QuadPack (XL) [ISISpace];PSLV;Astranis;Company;Commercial;US;ISILaunch;"Test a UHF radio payload for the planned microsatellite geostationary communication satellites.
                    "
KAUSAT-5;CubeSat;3U;No signal (No reported contacts found and no updates on official social media);2018-01-12;43135;QuadPack (XL) [ISISpace];PSLV;Korea Aerospace University;University;Academic / Education;South Korea;ISILaunch;Map Earth's surface in infrared and demonstrate CubeSat platform technologies.
PicSat;CubeSat;3U;Was operational until 2018-03-20 (Official manuscript from 2019-01-09);2018-01-12;43132;QuadPack (XL) [ISISpace];PSLV;Paris Observatory;Institute;Government (Civil / Military);France;ISILaunch;Observe the transit of the planet Beta Pictoris.
SIGMA (KHUSAT-3);CubeSat;3U;Was semi-operational until? (Personal contact);2018-01-12;43134;QuadPack (XL) [ISISpace];PSLV;Kyung Hee University;University;Academic / Education;South Korea;ISILaunch;Measure the Linear Energy Transfer (LET) spectrum.
Luojia 1-01 (LJ 1-01);CubeSat;6U;Operational? (Public news 2018-07-10 and publication 2019-1029. Checked on 2019-05-26);2018-06-02;43485;Unknown;Long March 11;Wuhan University;University;Academic / Education;China;Unknown;Night-light Earth observation with 100 m resolution and prototype for future constellation.
 CubeBel-1 (BSUSat-1, CubeBel1);CubeSat;2U;Operational (Last DK3WN report 2018-12-15);2018-10-29;43666 ;Unknown;Long March;Belarus State University;University;Academic / Education;Belarus;Unknown;Educational training and demonstration of attitude control plus camera and radiation spectrometer.
3CAT-1 (CubeCat-1);CubeSat;1U;Operational? (Last SatNOGS report 2018-12-05);2018-11-29;43728;QuadPack (XL) [ISISpace];PSLV (C43);Polytechnic University of Catalonia (UPC, BarcelonaTECH);University;Academic / Education;Spain;ISILaunch;Find out how plasma conditions at space affect wireless energy transmission.
InnoSat-2 (Innovative Satellite 2);CubeSat;3U;Operational (Last W2RTV report 2019-05-23);2018-11-29;43738;QuadPack (XL) [ISISpace];PSLV (C43);Astronautic Technology (M) Sdn. Bhd.;Company;Commercial;Malaysia;ISILaunch;"Dosimeter, a CMOS camera and an experimental reaction wheel.
                    "
Al-Farabi-2 (Al–Farabi 2);CubeSat;3U;Operational (Last SatNOGS report 2019-05-25 with what looks to be a decent packet, checked on 2019-05-26);2018-12-03;43805;PSL / PSL-P (Picosatellite Launcher) [Astrofein],?;Falcon 9 (Spaceflight SSO-A, SHERPA);Al-Farabi Kazak National University;University;Academic / Education;Kazakhstan;ISILaunch;"\-
                    "
